fid;tytuł_wiki_1;tytuł_wiki_2;tytuł_wiki_3;tytuł_wiki_4;tytuł_wiki_5
38;;Szczepankowo (Poznań);Spławie (Poznań);Krzesinki;
28;;Ostrów Tumski w Poznaniu;Śródka (Poznań);Zawady (Poznań);Komandoria (Poznań)
35;;Morasko;Radojewo;;
24;;Krzyżowniki (Poznań);Smochowice;;
10;;Krzesiny;Pokrzywno (Poznań);Garaszewo;
20;;Fabianowo;Kotowo (Poznań);;
39;;Antoninek (Poznań);Zieliniec (Poznań);Kobylepole;
5;Dębiec (Poznań);;;;
31;Główna (Poznań);;;;
41;Głuszyna (Poznań);;;;
11;Górczyn (Poznań);;;;
43;Grunwald (Poznań);;;;
3;Jeżyce;;;;
37;Junikowo;;;;
1;Kiekrz (Poznań);;;;
26;Ławica (Poznań);;;;
9;Łazarz (Poznań);;;;
16;Naramowice;;;;
4;Ogrody (Poznań);;;;
29;Osiedle Chartowo;;;;
18;Osiedle Kwiatowe (Poznań);;;;
2;Osiedle Stare Miasto (Poznań);;;;
40;Osiedle Starołęka-Minikowo-Marlewo;Starołęka;Minikowo (Poznań);Marlewo (Poznań);
32;Osiedle Warszawskie-Pomet-Maltańskie;Osiedle Warszawskie (Poznań);Osiedle Pomet;Osiedle Maltańskie;
45;Piątkowo (Poznań);;;;
19;Podolany (Poznań);;;;
7;Rataje (Poznań);;;;
22;Sołacz;;;;
23;Strzeszyn (Poznań);;;;
21;Świerczewo (Poznań);;;;
34;Umultowo;;;;
6;Wilda;;;;
13;Winiary (Poznań);;;;
44;Winogrady;;;;
25;Wola (Poznań);;;;
30;Żegrze;;;;
